Date_time,Disposition,Site_name,Site_at,Start_NAD83_East,Start_NAD83_North,End_NAD83_East,End_NAD83_North,Dry_site,System_type,Water_source,Length_m,Width_m,Hour,Minute,End_time,Total_survey_time,Habitat_type,Precipitation,Air_temp_150cm_C,Water_tmp_5cm_C,Relative_humidity,Wind_speed,Floating_veg_perc,Floating_species,Submerged_veg_perc,Submerged_species,Emergent_veg_perc,Emergent_species,Perimeter_veg_perc,Perimeter_species,Comments
2022-04-15T14:04:00Z,observed,Frog Tank,RU1,465419,3485055,NA,NA,no,stock tank,runoff,65,44,14,04,1412,8,lentic,none,27.6,22.3,13.3,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-15T14:35:00Z,observed,Holding tank,RU1,465835,3487204,NA,NA,no,stock tank,runoff,91,72,14,35,1454,19,lentic,none,26.1,20.7,14.5,breezy,0,NA,0,NA,5,"willow, Scirpus",81,"grasses, Eleocharis, Scirpus",NA
2022-04-15T19:30:00Z,removed,Arivaca Tank,Cobre Ridge BZ,465675,3491087,NA,NA,no,stock tank,runoff,99,47,19,30,2037,67,lentic,none,20.5,19.5,11.5,NA,0,NA,0,NA,0,NA,0,0,"Frogs on rocky side. Female 130mm SVL, fat bodies w/ <50% yellow eggs. After miss, resurfaced after <10 min."
2022-04-20T19:38:00Z,observed,Headwaters,LCNCA,539007,3517525,538761,3516144,no,stream,spring,NA,5,19,38,2204,146,lotic,none,16.9/15.9,16.0/15.2,20.3/25.3,still,40,"Lemma, algae",10,"Potomogeton, algae",40,"Hydrocotyl, watercress, Eleocharis, Typha, Scirpus, forbs",100,"cottonwood, willow, shrubs, forbs, grasses, Typha, Eleocharis, Scirpus","Pools 1 & 2 have filled in. Calling pools 24-19. 1 larva @ p21 (80mm TL). Adults 70-85mm SVL; 2 @ 24, 1 @21, 1 @ 19, 2 @ 15, 1 @ 14, 1 @ 11, 4 @ 10, 1 @ 5, 2 @ 4."
2022-04-20T22:42:00Z,observed,Bill's W.P,LCNCA,537982,3516405,NA,NA,no,wildlife pond,well,30,20,22,42,2254,12,lentic,none,13.7,18.7,32.200000000000003,still,15,"Hydrocotyl, algae",50,Potamogeton,10,"Hydrocotyl, Eleocharis",100,"Eleocharis, grasses",Many larvae near inflow area
2022-04-21T00:16:00Z,observed,Maternity Well W.P.,LCNCA,531703,3514062,NA,NA,no,wildlife pond,well,21,19,00,16,30,14,lentic,none,13.6,18,27.3,still,60,"Lemma, algae",100,Potamogeton,25,Eleocharis,100,"Eleocharis, grasses",60mm TL
2022-04-21T19:37:00Z,observed,Cinco Well W.P.,LCNCA,540545,3516513,NA,NA,no,wildlife pond,well,29,21,19,37,1952,15,lentic,none,22.8,21.2,21.2,still,20,algae,100,"Potamogeton, algae",10,Eleocharis,100,"cottonwood, willow, shrubs, grasses, Eleocharis","Water level normal, pump not flowing"
2022-04-21T20:15:00Z,observed,Gaucho W.P.,LCNCA,537351,3513949,NA,NA,no,wildlife pond,well,18,13,20,15,2029,14,lentic,none,21.1,19.600000000000001,21.6,breezy,10,algae,100,"Potamogeton, algae",25,Eleocharis,100,"Eleocharis, grasses","Water level normal, pump not flowing"
2022-04-21T20:42:00Z,observed,Road Canyon W.P.,LCNCA,540860,3511402,NA,NA,no,wildlife pond,well,12,8,20,42,2057,15,lentic,none,20.399999999999999,16.8,21.3,breezy,75,"bidens, grass, forbs, algae",100,"Potamogeton, algae",40,"Eleocharis, grasses, forbs",100,"Eleocharis, grasses, forbs",Floating veg mat covers >50% of pond
2022-04-21T21:15:00Z,observed,Cottonwood W.P.,LCNCA,536020,3514060,NA,NA,no,wildlife pond,well,43,38,21,15,2133,18,lentic,none,13.3,19.5,29.4,still,40,"lemma, bidens, forbs, algae",100,"Potamogeton, algae",40,"Eleocharis, grasses, forbs",100,"Eleocharis, grasses",6+m ring of floating/emergent vet around tank
2022-04-21T21:48:00Z,observed,Empire Gulch Spring,LCNCA,534337,3517020,534175,3516980,no,stream,spring,200,5,21,48,2218,30,lotic,none,NA,NA,NA,still,5,Lemma,5,algae,95,watercress,100,"cottonwood, willow, shrubs, grasses, Eleocharis, forbs","Egg masses (UTM 535218 E, 3516985 N) in upper north side stream coming from upper spring, in only open water around apx 50m from spring. Main stream almost entirely covered by watercress."
2022-04-21T22:40:00Z,observed,Karen's Tank,LCNCA,534390,3517378,NA,NA,no,stock tank,well,36,23,22,40,2247,7,lentic,none,18.2,18.5,23.6,still,0,NA,0,NA,0,NA,0,0,NA
2022-04-21T23:31:00Z,observed,Empire Well W.P.,LCNCA,531033,3516382,NA,NA,no,wildlife pond,well,26,24,23,31,2350,19,lentic,none,14.7,18.100000000000001,29.8,still,90,algae,100,"Potamogeton, algae",15,forbs,100,"mesquite grasses, forbs","Water level normal, well flowing"
2022-04-22T19:31:00Z,observed,Pump Canyon,LCNCA,541085,3526466,540276,3524906,no,stream,spring,NA,4,19,31,2036,65,lotic,none,19.1/17.8,17.4/17.3,24.6/28.5,breezy,5,Lemma,80,algae,5,"Eleocharis, forbs",100,"ash, cottonwood, willow, shrubs, forbs, grasses, Eloecharis",Detectability very good.
2022-04-22T20:36:00Z,observed,Coldspring,LCNCA,540276,3524906,539666,3523735,no,stream,spring,1600,4,20,36,2131,55,lotic,none,17.8/16.9,17.3/14.8,28.5/30.3,breezy,5,Lemma,40,"Potamogeton, algae",75,"watercress, Typha, Scirpus, Eleocharis",100,"ash, cottonwood, willow, shrubs, forbs, grasses, Eloecharis",NA
2022-04-27T17:27:00Z,observed,Dry Tank,Elgin Buffer Zone,538377,3505886,NA,NA,yes,stock tank,runoff,0,0,17,27,1728,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-27T17:48:00Z,observed,Mill pond,Elgin Buffer Zone,540445,3507108,NA,NA,yes,stock tank,runoff,0,0,17,48,1749,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,Only above ground steel drinker
2022-04-27T18:05:00Z,observed,BZ 2,Elgin Buffer Zone,552314,3509152,NA,NA,no,stock tank,runoff,36,31,18,05,1813,8,lentic,none,24.7,21.3,16.2,breezy,0,NA,0,NA,5,grasses,0,0,NA
2022-04-27T18:21:00Z,observed,BZ 1,Elgin Buffer Zone,542477,3509152,NA,NA,yes,stock tank,runoff,0,0,18,21,1822,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-27T19:47:00Z,observed,Mustang Dam,Elgin Buffer Zone,552720,3505245,NA,NA,no,stock tank,runoff,61,30,19,47,2026,39,lentic,none,22.1,21.2,17.399999999999999,breezy,0,NA,0,NA,0,NA,1,willow,No water below dam. Water level 1m below normal line. Stripped skunk by main willow on walkup.
2022-04-27T20:56:00Z,observed,BZ 11,Elgin Buffer Zone,552027,3509052,NA,NA,no,stock tank,runoff,29,14,20,56,2109,13,lentic,none,20.100000000000001,NA,18.2,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-27T21:24:00Z,observed,BZ 10,Elgin Buffer Zone,552935,3508319,NA,NA,no,stock tank,runoff,93,63,21,24,2144,20,lentic,none,20.2,19.8,19.5,still,0,NA,0,NA,0,NA,0,0,Racoon foraging in water
2022-04-27T22:19:00Z,observed,Jack Daniels Dam,Elgin Buffer Zone,547974,3505155,NA,NA,no,stock tank,runoff,127,30,22,19,2233,14,lentic,none,16.2,18.100000000000001,23.4,still,1,algae,70,Potamogeton,0,NA,90,grasses,NA
2022-04-27T23:10:00Z,observed,Home Tank,Elgin Buffer Zone,537926,3505018,NA,NA,yes,stock tank,runoff,0,0,23,10,2321,0,lentic,none,NA,NA,NA,still,0,NA,0,NA,0,NA,0,0,NA
2022-04-28T20:03:00Z,observed,Cinco Ponds,LCNCA,539308,3517626,539363,3517074,no,wetland,spring,600,35,20,03,2048,45,lentic,none,7.8,17.899999999999999,53.7,still,10,"Hydrocotyl, algae",80,Potamogeton,40,"Eleocharis, Scirpus",100,"grasses, Eleocharis, Scirpus",Many ducks at pond 1
2022-04-28T21:17:00Z,observed,Springwater Wetland,LCNCA,539176,3518969,NA,NA,no,wetland,spring,91,45,21,17,2149,32,lentic,none,9.1999999999999993,16,33.9,still,10,"Lemma, algae",75,Potamogeton,80,"grasses, Eleocharis, Scirpus, willow",100,"grasses, Eleocharis, Scirpus, willow","3 calling. Very full, difficult to access/view half the area"
2022-04-29T16:51:00Z,observed,Little Tank,Elgin Buffer Zone,537447,3508608,NA,NA,no,stock tank,runoff,37,17,16,51,1702,11,lentic,none,24.8,25.6,17.2,breezy,75,algae,50,algae,0,NA,0,0,NA
2022-04-29T17:17:00Z,observed,Johnson Tank,Elgin Buffer Zone,537207,3510687,NA,NA,no,stock tank,runoff,59,39,17,17,1730,13,lentic,none,25.3,26,17.3,breezy,0,NA,0,NA,15,grasses,0,0,Dead cow 25m from tank.
2022-04-29T17:43:00Z,observed,Reggie Tank,Elgin Buffer Zone,535708,3512324,NA,NA,no,stock tank,runoff,43,36,17,43,1753,10,lentic,none,23.6,24.9,15.7,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-04-29T18:20:00Z,observed,Beck Tank,Elgin Buffer Zone,536214,3506957,NA,NA,yes,stock tank,runoff,0,0,18,20,1821,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,DRY
2022-04-29T19:43:00Z,observed,Lower Empire Gulch,LCNCA,538681,3518612,538811,3519274,no,stream,spring,700,3,19,43,2036,53,lotic,none,10.4,20.2,31.3,still,5,Lemma,80,Potamogeton,30,"Eleocharis, Scirpus, grasses",100,"grasses, Eleocharis, Scirpus, trees",5 calling. Last pool is very large and difficult to survey; up to 30m across.
2022-04-29T20:56:00Z,observed,Heart Wetlands,LCNCA,538043,3517859,NA,NA,no,wetland,spring,29,19,20,56,2107,11,lentic,none,5.9,17.399999999999999,43.4,still,10,algae,75,Potamogeton,50,"Eleocharis, Scirpus, grasses",100,"grasses, Eleocharis, Scirpus",NA
2022-04-29T21:08:00Z,observed,Egret Wetlands,LCNCA,538073,3517773,NA,NA,no,wetland,spring,52,18,21,08,2121,13,lentic,none,5.9,19.100000000000001,43.4,still,15,algae,70,Potamogeton,40,"Eleocharis, Scirpus, grasses",100,"grasses, Eleocharis, Scirpus",NA
2022-04-29T21:22:00Z,observed,Crescent Wetlands,LCNCA,538110,3517840,NA,NA,no,wetland,spring,25,7,21,22,2131,9,lentic,none,5.9,15.6,43.4,still,75,algae,80,Potamogeton,20,"Eleocharis, Scirpus, grasses, forbs",100,"grasses, Eleocharis, Scirpus",NA
2022-05-04T17:19:00Z,observed,High Tk,Clyne/Sands,550891,3514848,NA,NA,no,stock tank,well,21,16,17,19,1732,13,lentic,none,22.5,23.1,11.6,breezy,0,NA,0,NA,1,grasses,0,0,NA
2022-05-04T18:05:00Z,observed,Goat Well,Pima,550384,3512901,NA,NA,no,wildlife pond,well,8,2,18,05,1816,11,lentic,none,22.3,15.7,13.3,breezy,100,algae,0,NA,5,"Scirpus, forbs",0,0,Previous heavy damage by cattle. Water trickling in from wildlife drinker pump
2022-05-04T19:43:00Z,observed,Clyne Spring,LCNCA,547045,3514876,NA,NA,no,stream,spring,7,2,19,43,1954,11,lotic,none,20.5,18.100000000000001,17.7,still,0,NA,40,Potamogeton,0,NA,0,0,"Water 10cm deep in upper pool, lower nearly dry (3mx1m). Two small pools apx 150m downstream."
2022-05-04T20:21:00Z,observed,Sues Pond,Clyne/Sands,547710,3514098,NA,NA,no,stock tank,runoff,33,22,20,21,2028,17,lentic,none,18.899999999999999,19.8,20.3,breezy,0,NA,0,NA,0,NA,0,0,Water several meters below vegetation line
2022-05-04T20:47:00Z,observed,Hospital Tank,Clyne/Sands,547227,3512978,NA,NA,no,stock tank,runoff,80,31,20,47,2058,11,lentic,none,17.100000000000001,19.100000000000001,21.1,still,0,NA,0,NA,0,NA,0,0,NA
2022-05-05T14:39:00Z,observed,Twin Ponds,Sierrita Mts,477970,3520658,NA,NA,no,stock tank,runoff,119,92,14,39,1456,17,lentic,none,29.2,26.7,12.1,breezy,0,NA,5,Potamogeton,1,willow,1,willow,2nd pond dry. Swainson's hawk drining upon arrival.
2022-05-05T16:23:00Z,observed,Holding tank,RU1,465835,3487204,NA,NA,no,stock tank,runoff,87,68,16,23,1647,24,lentic,none,29.5,26.9,14.1,breezy,0,NA,0,NA,1,willow,10,"grasses, Eleocharis, Scirpus, willow","15"" catfish near surface, many small bluegill. Detectability very good."
2022-05-05T17:23:00Z,observed,Arivaca Tank,Cobre Ridge BZ,465675,3491087,NA,NA,no,stock tank,runoff,90,43,17,23,1757,34,lentic,none,29.3,26.4,13.2,breezy,0,NA,0,NA,0,NA,0,0,Detectability very good.
2022-05-05T18:07:00Z,observed,Chilton Tank,Cobre Ridge BZ,465842,3490337,NA,NA,no,stock tank,runoff,43,29,18,07,1818,11,lentic,none,28.9,27.8,13.4,breezy,0,NA,0,NA,5,grasses,10,grasses,NA
2022-05-05T19:50:00Z,removed,Arivaca Tank,Cobre Ridge BZ,465675,3491087,NA,NA,no,stock tank,runoff,90,43,19,50,2059,69,lentic,none,22.1,23.2,16.3,still,0,NA,0,NA,0,NA,0,0,Removed 120mm SVL male (resurfaced after only 4min); both frogs same size. Waited 55min after last sighting with no sign of 2nd frog. Many bullheads feeding at surface.
2022-05-05T21:41:00Z,observed,Cemetery Tank,Cobre Ridge BZ,472869,3483682,NA,NA,no,stock tank,runoff,72,48,21,41,2153,12,lentic,none,21.4,21.9,17.8,still,0,NA,5,algae,0,NA,1,grasses,Many bluegill jumping
2022-05-06T14:20:00Z,observed,Jim Davis Pond,Elgin,537700,3503985,NA,NA,no,pond,well,25,18,14,20,1437,17,lentic,none,31.7,24.6,11.7,breezy,10,algae,100,Potamogeton,15,"Eleocharis, grasses",100,"Eleocharis, grasses, willow","Ginger Satler, new owner. All adults hiding in willow, 2 very close together. Water level low, well not running. Bass and bluegill."
2022-05-06T14:50:00Z,observed,Milky Way Pond,Elgin,538181,3503496,NA,NA,no,pond,well,68,42,14,50,1510,20,lentic,none,32.4,28.2,12.6,breezy,10,algae,40,"Potamogeton, algae",5,"Eleocharis, grasses",95,"Eleocharis, grasses","Josh Taylor, new owner. Frogs in Eleo on SE & E bank, one under dock. Bluegill near bank."
2022-05-06T16:35:00Z,removed,Jelk's Pond,Canelo,544915,3490707,NA,NA,no,stock tank,spring,77,17,16,35,1712,37,lentic,none,30.8,23.3,12.8,breezy,5,algae,30,"Potamogeton, algae",70,"Typha, Willow",50,"Typha, grasses, willow",Most frogs onW bank. Lots of woody debris floating in upper half of pond.
2022-05-06T17:13:00Z,observed,Jelk's Creek,Canelo,544909,3490721,544985,3490969,no,stream,spring,275,12,17,13,1748,50,lotic,none,30.8,19.600000000000001,12.8,breezy,30,"Lemma, algae",20,"Potamogeton, algae",50,"Scirpus, willow, Typha, forbs",100,"grasses, shrubs, Scirpus, , forbs, willow, cottonwood","5 juvs above berm, 1 in pool just below berm, 1 in very last pool near fence."
2022-05-06T19:42:00Z,observed,"TNC, Upper",Canelo,544870,3492303,544808,3492006,no,stream,spring,325,6,19,42,2015,33,lotic,none,14.6,13.6,33.4,still,5,"Lemma, algae",10,algae,20,"willow, Scirpus, Eleo, forbs",100,"willow, shrubs, grasses, forbs, Scirpus, Eleocharis","Larvae large (apx 120mm, no legs): 1 @ p6, 2 @ p7, 2@ p8, 1@ p9. Chub"
2022-05-06T20:16:00Z,observed,"TNC,  Lower",Canelo,544870,3492303,545133,3492535,no,stream,spring,350,5,20,16,2035,19,lotic,none,16.2,14.9,36.9,still,5,"Lemma, algae",10,algae,30,"grasses, willow, Scirpus",100,"willow, shubs, grasses, Scirpus",Chub
2022-05-06T21:15:00Z,removed,Jelk's Pond,Canelo,544915,3490707,NA,NA,no,stock tank,spring,77,17,21,15,2136,16,lentic,none,17.7,18.2,20.2,still,5,algae,30,"Potamogeton, algae",70,"Typha, Willow",50,"Typha, grasses, willow","Juvs 75mm SVL. Larvae very large, no legs"
2022-05-06T21:36:00Z,removed,Jelk's Creek,Canelo,544909,3490721,544985,3490969,no,stream,spring,275,12,21,36,2204,28,lotic,none,17.7,16,20.2,still,30,"Lemma, algae",20,"Potamogeton, algae",50,"Scirpus, willow, Typha, forbs",100,"grasses, shrubs, Scirpus, , forbs, willow, cottonwood","Juvs 75-85mm SVL. Larvae very large, no legs"
2022-05-11T16:02:00Z,observed,Dead Cow Tank,Cobre Ridge BZ,473184,3487974,NA,NA,no,stock tank,runoff,34,23,16,02,1613,11,lentic,none,27.8,25.2,17.3,breezy,0,NA,15,Potamogeton,0,NA,0,0,Water relatively clear. Detectability excelent.
2022-05-11T16:44:00Z,observed,Arivaca Tank,Cobre Ridge BZ,465675,3491087,NA,NA,no,stock tank,runoff,74,43,16,44,1749,65,lentic,none,28,23.2,16.5,breezy,0,NA,0,NA,0,NA,0,0,Yellow bullheads. Glassed/walked for over 1hr; no sign of frogs.
2022-05-11T20:02:00Z,observed,Wilbur Tank,RU1,463364,3493318,NA,NA,no,stock tank,runoff,33,33,20,02,2019,17,lentic,none,20.9,22,20.7,still,0,NA,5,Potamogeton,0,NA,0,0,"Most frogs on S bank. Observed 1 large, gravid-looking female(?), apx 85mm+. Skunk along N bank at walk-up."
2022-05-11T21:24:00Z,removed,Arivaca Tank,Cobre Ridge BZ,465675,3491087,NA,NA,no,stock tank,runoff,74,43,21,24,2228,64,lentic,none,20.100000000000001,21,29.1,still,0,NA,0,NA,0,NA,0,0,"154mm SVL female: eggs black 1mm w/ polar bodies yellow, oviducts 3mm opaque. 85mm SVL female, small yellow ovaries. Both frogs seen upon initial look and removed/recovered within 15min; no sign after that. Almost no fish activity. All frogs on rocky E bank; big female in N corner where rocks end."
2022-05-11T23:33:00Z,observed,Agua Cercada Tank,RU1,469595,3482070,NA,NA,no,stock tank,runoff,55,43,23,33,2345,12,lentic,none,12.3,19.2,32.4,still,0,NA,0,NA,0,NA,0,0,NA
2022-05-12T00:23:00Z,observed,Mojonera Tank,RU1,469588,3481104,NA,NA,no,stock tank,runoff,43,23,00,23,52,29,lentic,none,12.5,18.399999999999999,25.4,still,0,NA,60,Potamogeton,10,shrubs,25,"shrubs, forbs, grasses","Many larvae. Adults 65-85mm SVL (1 gravid), calling. Larvae 20-90mm+ TL, some w/ full hind legs and nearly fronts. Many <40mm TL."
2022-05-12T01:48:00Z,observed,Yellowjacket Tank,RU1,468574,3483811,NA,NA,no,stock tank,runoff,147,66,01,48,210,22,lentic,none,16.100000000000001,19.2,15.6,breezy,5,algae,20,algae,1,willow,50,"willow, grasses",Willow has partially collapsed making part difficult to survey. 3 fish splashing (bullheads).
2022-05-12T08:55:00Z,observed,False Tank,Cobre Ridge BZ,463919,3489271,NA,NA,no,stock tank,runoff,50,33,08,55,910,15,lentic,none,18.399999999999999,17.8,16,breezy,0,NA,0,NA,0,NA,25,grasses,NA
2022-05-12T09:38:00Z,observed,Watergate Tank,Cobre Ridge BZ,465415,3489074,NA,NA,no,stock tank,runoff,54,17,09,38,950,12,lentic,none,21.1,18.899999999999999,18.100000000000001,breezy,0,NA,0,NA,0,NA,0,0,NA
2022-05-12T10:35:00Z,observed,Encinas Tank,Cobre Ridge BZ,463149,3486675,NA,NA,yes,stock tank,runoff,0,0,10,35,1036,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,DRY
2022-05-12T11:02:00Z,observed,Cloud Tank,RU1,465187,3487857,NA,NA,yes,stock tank,runoff,0,0,11,02,1103,1,lentic,none,NA,NA,NA,breezy,0,NA,0,NA,0,NA,0,0,DRY
2022-05-12T12:57:00Z,observed,Coches Tank,Cobre Ridge BZ,460041,3481169,NA,NA,no,stock tank,runoff,92,53,12,57,1312,15,lentic,none,29.4,25.7,12.2,breezy,0,NA,0,NA,1,willow,1,willow,Sand trap 31x27. Tank full.
