Site_name,2022,2023,2024
Maloney Tank,1,0,0
Margarita Tank,1,1,1
Maternity Well W.P.,4,5,6
Mattie Canyon,0,1,0
McDaniel Pond,0,1,0
McDaniel Well Tank,0,5,3
McNalley Tank,0,0,1
Mesa Tanks,0,1,0
Middle Canyon Spring,0,2,1
Middle Canyon Tank,12,7,6
Middle Tank,1,0,0
Milky Way Pond,1,0,0
Mill pond,3,0,0
Mineral Lake,2,2,1
Mojonera Tank,6,1,6
Morgan Pond,2,0,0
Muleshoe Tank,5,4,7
Mustang Dam,4,4,6
Narrows,0,0,4
"O'Donnell Creek, Below TNC",4,0,0
"O'Donnell Creek, TNC entire",1,0,0
O'Leary Tank,1,0,0
Ostrich Tank,1,1,1
Palomas Tank,1,1,3
Papago Tanks,2,3,6
Pauline Tank,13,6,6
Post Canyon,0,3,0
Pump Canyon,3,3,4
Pyeatt Tank,5,3,1
Quartz Pool,0,0,1
Rattlesnake Canyon Pool,1,1,2
Reggie Tank,2,0,2
Road Canyon W.P.,4,4,3
Roadside Tank,0,0,7
Rosemary Tank,0,1,0
Ruby Lakes,2,4,4
Rudy Ronquillo,1,0,0
Rusty's RV Ranch,2,0,0
Sabino Tank,1,0,0
Sanford Tk,2,0,0
Sawtelle Tank,1,2,3
Section 1,0,0,63
Section 10,0,0,16
Section 11,0,0,32
Section 12,0,0,28
Section 13,0,0,38
Section 14,0,0,26
Section 15,0,0,16
Section 16,0,0,1
Section 17-18 Tank,0,1,0
Section 2,0,0,28
Section 3 House Pond,0,0,44
Section 4,0,0,57
Section 5,0,0,53
Section 6,0,0,55
Section 7,0,0,54
Section 8,0,0,27
Section 9,0,0,24
Side Pocket Tank,4,4,6
Sierra Bonita Tank,0,2,3
Sparkplug Wash,0,0,1
Spartacus Pond,6,3,2
"Spartacus Pond, downstream",2,1,0
Sparticus Reach,1,0,0
Springwater Wetland,3,4,5
State Tank,2,0,2
Sues Pond,3,0,2
Sycamore Grove Tank,0,1,2
"TNC,  Lower",2,0,0
"TNC, Lower",13,19,12
"TNC, Upper",20,22,12
Teacup Tank,0,2,0
Tellas Tank,0,4,3
Town Lake,2,2,1
"Turkey Creek, Canelo Project",11,10,8
"Turkey Creek, Canelo Project to FS Fire Station",2,0,0
"Turkey Creek, FS Fire Station",1,0,0
"Turkey Creek, Fire Station to Canelo Project",0,1,0
Twin Ponds,1,1,1
Unnamed Tank,0,1,0
Upper Lower Empire Gulch,0,0,1
Upper Tank,3,6,5
Watergate Tank,2,2,6
West Tank,1,0,0
Wilbur Tank,3,0,1
Willamson Tank,0,0,1
Willow Pond,2,0,0
Woodchopper Tank,5,8,18
Worry 14,0,0,2
Yellow Jacket Tank,0,0,3
Yellowjacket Tank,2,1,0
