"Date","surveyors","taxon","Species","No_Obs","Adult","Adults_removed","Juv","Juv_removed","Larvae","Larvae_removed","Egg_mass","Disposition","County","Site_name","Site_at","Start_NAD83_East","Start_NAD83_North","End_NAD83_East","End_NAD83_North","Dry_site","System_type","Water_source","Length_m","Width_m","Start_time","End_time","Total_survey_time","Habitat_type","Precipitation","Air_temp_150cm_C","Water_tmp_5cm_C","Relative_humidity","Wind_speed","Floating_veg_perc","Floating_species","Submerged_veg_perc","Submerged_species","Emergent_veg_perc","Emergent_species","Perimeter_veg_perc","Perimeter_species","Grazing_activity","Comments","Final_Start_NAD83_East","Final_Start_NAD83_North"
2022-04-13,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Double Tank","Canelo",541283,3486809,NA,NA,"no","stock tank","runoff","28","10","1218","1225",7,"lentic","none","19.899999999999999","23.8","10","breezy","0","0","20","Potamogeton","0","0","0","0","0",NA,NA,NA
2022-06-14,"JML","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Double Tank","Canelo",541283,3486809,NA,NA,"yes","stock tank","runoff","0","0","1755","1756",1,"lentic","none","30.5","n/r","15.9","breezy","0","0","0","0","0","0","0","0","sign","DRY",NA,NA
2022-07-06,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Double Tank","Canelo",541283,3486809,NA,NA,"yes","stock tank","runoff","0","0","1505","1506",1,"lentic","none","n/r","n/r","n/r","breezy","0","0","0","0","0","0","0","0","sign",NA,NA,NA
2022-08-09,"JML","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Double Tank","Canelo",541283,3486809,NA,NA,"no","stock tank","runoff","63","49","1736","1749",13,"lentic","none","22.8","25.5","73.8","still","0","0","0","0","15","grasses, eleocharis,, forbs,","100","grasses, forbs, eleocharis, juniper","sign","First survey since tank significantly filled",NA,NA
2022-09-01,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Double Tank","Canelo",541283,3486809,NA,NA,"no","stock tank","runoff","62","50","1112","1122",10,"lentic","none","22.8","25.4","62.9","breezy","5","algae","60","Potamogeton","15","grasses, Eleocharis","100","grasses, Eleocharis, juniper, oak","none",NA,NA,NA
2022-09-08,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Double Tank","Canelo",541283,3486809,NA,NA,"no","stock tank","runoff","62","50","2107","2116",9,"lentic","none","21.4","22.5","57.9","still","0","0","60","Potamogeton","10","grasses, Eleocharis","100","grasses, Eleocharis, juniper, oak","none",NA,NA,NA
2022-10-27,"JML, CLP","FROG","RACH",11,11,0,0,0,0,0,0,"observed","Santa Cruz","Double Tanks","O'Leary Canyon",535981,3496669,NA,NA,"no","stock tank","runoff","101","46","1503","1513",10,"lentic","none","18.7","20.2","31.9","windy","15","Lemma, Hydrocotyl","20","Potamogeton","15","Eleocharis","75","grasses, Eleocharis, juniper, oak","sign",NA,NA,NA
2022-04-13,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","43","31","1240","1250",10,"lentic","none","17.600000000000001","21.8","13.2","breezy","5","algae","80","Potamogeton","5","Eleocharis","5","Eleocharis","none",NA,NA,NA
2022-05-19,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","27","25","1250","1310",30,"lentic","none","30.5","26.9","14.5","breezy","5","algae","0","0","0","0","0","0","none","Water level very low, likely due to fire supression one week ago. Placed audio moth in small oak on N side",NA,NA
2022-06-14,"JML","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","27","22","1710","1723",13,"lentic","none","31.9","29.4","12.3","windy","0","0","30","Potamogeton","0","0","0","0","sign","Black bear tracks observed all around tank (photos)",NA,NA
2022-07-06,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","26","17","1520","1533",13,"lentic","none","30.6","33","33.1","breezy","5","algae","75","Potomogeton","0","0","100","grasses","sign",NA,NA,NA
2022-08-09,"JML","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","125","73","1703","1717",14,"lentic","none","23.1","26.1","72.7","still","0","0","40","grasses, Potamogeton","15","forbs, grasses, eleocharis","100","grasses, forbs","sign","First survey since tank significantly filled",NA,NA
2022-09-01,"JML, CLP","TURTLE","KISO",1,1,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","116","61","1139","1155",16,"lentic","none","24.9","26.4","57.2","breezy","10","algae","75","Potamogeton","35","forbs, grasses, Eleocharis","100","grasses, forbs, eleocharis, juniper, oak","sign",NA,NA,NA
2022-09-08,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","112","58","2139","2153",14,"lentic","none","22.4","22.5","52.2","still","10","algae","75","Potamogeton","35","forbs, grasses, Eleocharis","100","grasses, forbs, eleocharis, juniper, oak","none",NA,NA,NA
2022-09-22,"CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","102","53","1700","1714",14,"lentic","none","21.1","24.6","71.5","breezy","10","algae","75","Potamogeton","35","forbs, grasses, Eleocharis","100","grasses, forbs, eleocharis, juniper, oak","none","Collected audio moth",NA,NA
2022-09-28,"JML, CLP","none","none",0,0,0,0,0,0,0,0,"observed","Santa Cruz","Fish Tank","Canelo",541900,3486098,NA,NA,"no","stock tank","runoff","95","48","2235","2251",16,"lentic","none","17.100000000000001","22","94.6","still","10","algae","75","Potamogeton","35","forbs, grasses, Eleocharis","100","grasses, forbs, eleocharis, juniper, oak","none",NA,NA,NA
2022-04-13,"CLP","FROG","RACA",21,0,0,19,17,5,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring","275","12","2112","2142",30,"lotic","none","5.8","11.7","23.7","still","30","Lemma, algae","20","algae","80","Scirpus, willow, Typha, forbs","100","grasses, willow, shrubs, cottonwood","sign","75-85mm SVL",NA,NA
2022-05-06,"CLP","FROG","RACA",29,0,0,7,0,22,0,0,"observed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring","275","12","1713","1748",50,"lotic","none","30.8","19.600000000000001","12.8","breezy","30","Lemma, algae","20","Potamogeton, algae","50","Scirpus, willow, Typha, forbs","100","grasses, shrubs, Scirpus, , forbs, willow, cottonwood","sign","5 juvs above berm, 1 in pool just below berm, 1 in very last pool near fence.",NA,NA
2022-05-06,"CLP","FROG","RACA",47,0,0,14,11,33,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring","275","12","2136","2204",28,"lotic","none","17.7","16","20.2","still","30","Lemma, algae","20","Potamogeton, algae","50","Scirpus, willow, Typha, forbs","100","grasses, shrubs, Scirpus, , forbs, willow, cottonwood","sign","Juvs 75-85mm SVL. Larvae very large, no legs",NA,NA
2022-05-25,"JML","FROG","RACA",61,0,0,6,4,55,36,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"12","1148","1522",214,"lotic","none","29.6","20","11.4","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Observed juves were between 70-80mm; performed 60 dipnet passes yielding 36 tadpoles between 120-150mm, many with hind legs present. Tadpoles removed.",NA,NA
2022-05-26,"JML","FROG","RACA",46,0,0,6,3,40,12,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"12","1230","1446",136,"lotic","none","33.200000000000003","21.1","9.8000000000000007","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Performed 30 dipnet passes yielding 12 tadpoles between 120-150mm TL, many with hind legs present. Tadpoles removed",NA,NA
2022-05-26,"JML","FROG","RACA",36,0,0,16,16,20,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"12","2035","2102",27,"lotic","none","19.899999999999999","18.8","18.2","still","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves between 70-80mm SVL. Tadpoles between 120-150mm TL, many with hind legs",NA,NA
2022-05-26,"JML","FROG","HYWR",1,0,0,1,0,0,0,0,"observed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"12","2035","2102",27,"lotic","none","19.899999999999999","18.8","18.2","still","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","HYWR near berm (photo)",NA,NA
2022-06-01,"JML","FROG","RACA",15,0,0,3,3,12,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"12","2253","2315",22,"lotic","none","16.399999999999999","16.8","20.5","still","30","lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves between 70-80mm SVL. Tadpoles between 120-150mm TL, many with hind legs",NA,NA
2022-06-07,"JML","FROG","RACA",32,0,0,2,0,30,19,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"12","1502","1548",46,"lotic","none","32.4","27.3","16.8","breezy","30","lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Tadpoles removed by dipnet in 20 passes. Tadpoles 120-150mm--Many with hind limbs",NA,NA
2022-06-07,"JML","FROG","RACA",12,0,0,7,7,5,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"11","2121","2246",85,"lotic","none","21.4","19.899999999999999","34.700000000000003","still","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves between 70-80mm SVL. Tadpoles between 120-150mm TL, many with hind legs",NA,NA
2022-06-14,"JML","FROG","RACA",22,0,0,16,16,6,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544909,3490721,544985,3490969,"no","stream","spring",NA,"11","2138","2203",25,"lotic","none","24.2","20.2","32.299999999999997","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves between 70-80mm SVL. Tadpoles between 120-150mm TL, many with hind legs",NA,NA
2022-06-21,"JML","FROG","RACA",37,0,0,22,18,15,2,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2132","2215",43,"lotic","none","17.3","19.5","89.7","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves 70-80mm SVL (1 metamorph with full tail observed), Tadpoles 120-150mm TL (many with hind legs)",NA,NA
2022-06-30,"JML, CLP","FROG","RACA",118,0,0,98,88,20,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2055","2207",72,"lotic","none","22","21.5","69.400000000000006","breezy","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","significantly higher number of observed frogs from previous week. Many recent metamorphs with tails observed & removed",NA,NA
2022-07-06,"CLP","FROG","RACA",41,0,0,30,20,11,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2132","2215",43,"lotic","none","17.3","19.5","89.7","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-07-06,"CLP","TURTLE","KISO",5,5,0,0,0,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2132","2215",43,"lotic","none","17.3","19.5","89.7","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-07-06,"CLP","FROG","RACA",78,0,0,78,76,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2154","2236",42,"lotic","none","19.8","20.7","63.7","still","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-07-07,"CLP","FROG","RACA",40,0,0,26,14,14,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","1629","1702",31,"lotic","none","31.1","24.7","37.4","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-07-07,"CLP","TURTLE","KISO",3,3,0,0,0,0,0,0,"observed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","1629","1702",31,"lotic","none","31.1","24.7","37.4","breezy","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-07-07,"CLP","FROG","RACA",31,0,0,31,31,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2122","2255",33,"lotic","none","19.600000000000001","20.100000000000001","61.8","still","30","Lemma, algae","20","Potamogeton, algae","50","typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-07-13,"JML, CLP","FROG","RACA",122,0,0,92,59,30,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","1325","1425",60,"lotic","none","32","26.6","n/r","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, Scirpus, willow, forbs","100","grasses, willow, forbs, cottonwood, shrubs","sign",NA,NA,NA
2022-07-13,"JML, CLP","TURTLE","KISO",8,6,0,2,0,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","1325","1425",60,"lotic","none","32","26.6","n/r","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, Scirpus, willow, forbs","100","grasses, willow, forbs, cottonwood, shrubs","sign",NA,NA,NA
2022-07-13,"JML, CLP","FROG","RACA",150,0,0,150,111,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2200","2257",57,"lotic","none","22.9","22.2","67.900000000000006","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, Scirpus, willow, forbs","100","grasses, willow, forbs, cottonwood, shrubs","sign",NA,NA,NA
2022-07-14,"JML, CLP","FROG","RACA",117,0,0,117,97,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2028","2147",79,"lotic","intermittent","21.7","23.1","77.599999999999994","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, Scirpus, willow, forbs","100","grasses, willow, forbs, cottonwood, shrubs","sign","1 escaped below berm @ 90 - 100mm SVL. Intermittent rain.",NA,NA
2022-07-19,"JML","FROG","RACA",76,0,0,70,54,6,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","1746","1837",51,"lotic","none","30.9","25.7","45.7","windy","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves 70-80mm SVL (many of them recent metamorphs); Tadpoles 120-150mm TL with hind legs",NA,NA
2022-07-19,"JML","FROG","RACA",98,0,0,88,81,10,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2316","11",55,"lotic","intermittent","20.3","21.5","82.1","windy","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves 70-80mm SVL (many of them recent metamorphs). 1 removed @ 87mm SVL from pool below berm down stream; Tadpoles 120-150mm TL with hind legs",NA,NA
2022-07-20,"JML, CLP","FROG","RACA",152,0,0,152,141,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2156","2309",73,"lotic","intermittent","24.1","24.8","63.2","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","65-80mm SVL, many morphs. Waited for Lightning storm to pass before starting. Light rain during survey.",NA,NA
2022-07-21,"JML","FROG","RACA",98,0,0,90,78,8,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2035","2205",30,"lotic","none","23.8","24.4","77.599999999999994","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","Juves 70-80mm SVL (many of them recent metamorphs). 1 removed @ 100mm SVL from pool below berm down stream; Tadpoles 120-150mm TL with hind legs",NA,NA
2022-07-26,"JML, CLP","FROG","RACA",67,0,0,59,49,8,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"11","2018","2057",39,"lotic","intermittent","20.6","20","89.8","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","70-80mm SVL, many morphs. Tadpoles ~120-150mm TL with hind legs",NA,NA
2022-07-27,"JML, CLP","FROG","RACA",96,0,0,96,32,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","1200","1254",54,"lotic","none","28.1","24","71.8","breezy","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs, Scirpus","100","grasses, willow, forbs, cottonwood, shrubs","sign","Very wary",NA,NA
2022-07-27,"JML, CLP","TURTLE","KISO",9,9,0,0,0,0,0,0,"observed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","1200","1254",54,"lotic","none","28.1","24","71.8","breezy","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs, Scirpus","100","grasses, willow, forbs, cottonwood, shrubs","sign","Very wary",NA,NA
2022-07-27,"JML, CLP","FROG","RACA",61,0,0,61,57,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2015","2104",49,"lotic","none","21.3","22.9","92","still","30","Lemma, algae","20","Potamogeton, algae","50","Typha, grasses, willow, forbs, Scirpus","100","grasses, willow, forbs, cottonwood, shrubs","sign",NA,NA,NA
2022-07-28,"JML, CLP","FROG","RACA",27,0,0,24,22,3,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"15","2017","2118",61,"lotic","none","21.6","23.5","94.4","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","No RACA observed below downstream creek berm. 1st night survey since creek flooded out from previous night's rain",NA,NA
2022-07-28,"JML, CLP","FROG","HYWR",100,100,0,0,0,0,0,0,"observed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"15","2017","2118",61,"lotic","none","21.6","23.5","94.4","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","dozens of calling HYWR males at pool adjacent to TNC property (photos and video taken)",NA,NA
2022-08-02,"JML","FROG","RACA",25,0,0,25,11,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","1702","1814",72,"lotic","none","24.1","24","84.8","breezy","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","70-80mm SVL. Only 1 RACA juve observed below downstream berm",NA,NA
2022-08-02,"JML","FROG","RACA",40,0,0,40,37,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2124","2205",41,"lotic","none","22.1","22.9","90.5","breezy","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","70-80mm SVL. 3 RACA juves observed below downstream berm",NA,NA
2022-08-04,"JML, CLP","FROG","RACA",34,0,0,34,33,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2100","2207",67,"lotic","none","24.1","22.4","84.8","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","70-100mm SVL. 1 @ 100mm, did not see/recover body after shot, may have escaped.",NA,NA
2022-08-05,"CLP","FROG","RACA",29,1,1,28,27,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2100","2150",50,"lotic","none","22.6","22.4","79.599999999999994","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","70-85mm SVL, rem 130mm SVL from in front of big log lookout at deep water bulrush section of big pool.",NA,NA
2022-08-09,"JML","FROG","RACA",26,0,0,26,24,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2029","2102",33,"lotic","intermittent","20.7","22.2","93.6","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","70-85mm SVL",NA,NA
2022-08-11,"CLP","FROG","RACA",25,0,0,25,20,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2045","2130",45,"lotic","none","19.600000000000001","21.5","85","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign",NA,NA,NA
2022-08-12,"CLP","FROG","RACA",10,1,1,9,9,0,0,0,"removed","Santa Cruz","Jelk's Creek","Canelo",544911,3490736,544984,3490993,"no","stream","spring",NA,"12","2041","2114",33,"lotic","none","23","23.8","78.8","still","20","Lemma, algae","20","Potamogeton, algae","70","Typha, Scirpus, grasses, willow, forbs","100","grasses, willow, forbs, cottonwood","sign","removed male 145mm SVL from dead cow spot",NA,NA
